codigoEquipamiento,fechaSolicitud,legajo,descripcionProblema
1,2026-03-25,3,Se detectó desgaste por uso.
2,2026-06-11,10,Presenta un funcionamiento irregular.
6,2026-01-02,2,El tapizado está deteriorado.
7,2026-01-04,10,Presenta un funcionamiento irregular.
8,2025-03-26,2,Presenta un funcionamiento irregular.
9,2026-04-27,5,El tapizado está deteriorado.
12,2026-07-21,14,Se detectó desgaste por uso.
17,2026-02-15,13,Se detectó una falla mecánica.
19,2025-11-30,7,Requiere inspección preventiva.
26,2026-05-21,13,Se aflojaron componentes estructurales.
30,2025-08-26,14,Se detectó desgaste por uso.
35,2026-04-28,2,Se detectó una falla mecánica.
35,2026-08-04,9,Presenta un funcionamiento irregular.
40,2025-07-14,5,Se detectó desgaste por uso.
57,2025-12-17,13,El tapizado está deteriorado.
64,2026-07-25,2,Se recomienda mantenimiento general.
73,2026-05-29,3,Se aflojaron componentes estructurales.
103,2025-10-01,13,El sistema de regulación no funciona correctamente.
133,2026-05-26,10,Se observan ruidos durante su utilización.
135,2026-04-09,14,Se observan ruidos durante su utilización.
135,2026-06-09,5,Se recomienda mantenimiento general.
198,2026-07-14,13,Se aflojaron componentes estructurales.
201,2026-07-14,2,Se observan ruidos durante su utilización.
