codigoEquipamiento,nombre,descripcion
1,Prensa 45°,Máquina para el entrenamiento de piernas enfocada en cuádriceps glúteos e isquiotibiales.
2,Prensa 45°,Máquina para el entrenamiento de piernas enfocada en cuádriceps glúteos e isquiotibiales.
3,Jalón al pecho,Permite trabajar principalmente el dorsal ancho mediante un movimiento de tracción vertical.
4,Jalón al pecho,Permite trabajar principalmente el dorsal ancho mediante un movimiento de tracción vertical.
5,Jalón al pecho,Permite trabajar principalmente el dorsal ancho mediante un movimiento de tracción vertical.
6,Remo sentado,Máquina destinada al fortalecimiento de la musculatura de la espalda.
7,Remo sentado,Máquina destinada al fortalecimiento de la musculatura de la espalda.
8,Press de pecho,Trabaja pectorales tríceps y deltoides anteriores.
9,Press de pecho,Trabaja pectorales tríceps y deltoides anteriores.
10,Press inclinado,Enfatiza la porción superior del pectoral.
11,Press de hombros,Desarrolla los deltoides y los tríceps.
12,Extensión de piernas,Ejercicio de aislamiento para cuádriceps.
13,Extensión de piernas,Ejercicio de aislamiento para cuádriceps.
14,Camilla femoral,Trabaja principalmente los isquiotibiales.
15,Camilla femoral,Trabaja principalmente los isquiotibiales.
16,Aductor,Fortalece los músculos aductores de la cadera.
17,Abductor,Fortalece los músculos abductores de la cadera.
18,Polea alta,Permite realizar múltiples ejercicios para espalda brazos y hombros.
19,Polea alta,Permite realizar múltiples ejercicios para espalda brazos y hombros.
20,Polea baja,Utilizada para ejercicios de remo bíceps y otros movimientos de tracción.
21,Cruce de poleas,Equipo multifunción para ejercicios de pecho hombros y brazos.
22,Smith,Barra guiada para realizar ejercicios con mayor estabilidad.
23,Hack squat,Máquina para sentadillas guiadas enfocadas en piernas.
24,Pantorrillera,Diseñada para el trabajo específico de los gemelos.
25,Fondos asistidos,Asiste en la ejecución de fondos y dominadas.
