codigoEjercicio,nombre,descripcion,idGrupoMuscular,idDificultad,idTipoEjercicio
1,Press de banca con barra,Empuje horizontal con barra para desarrollar el pecho.,1,2,1
2,Press inclinado con mancuernas,Trabaja principalmente la porción superior del pecho.,1,2,1
3,Aperturas con mancuernas,Aislamiento del pectoral mediante apertura de brazos.,1,1,1
4,Aperturas en Pec Deck,Ejercicio de aislamiento para el pecho utilizando máquina.,1,1,1
5,Fondos en paralelas,Empuje con peso corporal enfocado en pecho y tríceps.,1,3,1
6,Flexiones de brazos,Ejercicio clásico de empuje con peso corporal.,1,1,1
7,Jalón al pecho,Tracción vertical para desarrollar la espalda.,2,1,1
8,Dominadas,Tracción con peso corporal enfocada en dorsales.,2,3,1
9,Remo sentado,Remo horizontal utilizando máquina.,2,2,1
10,Remo con barra,Ejercicio libre para desarrollar la espalda media.,2,3,1
11,Remo con mancuerna,Remo unilateral para dorsales.,2,2,1
12,Pullover en polea,Extensión de hombros enfocada en dorsales.,2,2,1
13,Peso muerto,Ejercicio compuesto para la cadena posterior.,2,3,1
14,Hiperextensiones lumbares,Fortalece la zona lumbar y la cadena posterior.,2,1,1
15,Press militar,Empuje vertical para hombros.,3,2,1
16,Press Arnold,Variante del press con rotación de hombros.,3,2,1
17,Elevaciones laterales,Aislamiento del deltoides medio.,3,1,1
18,Elevaciones frontales,Trabajo del deltoides anterior.,3,1,1
19,Pájaros con mancuernas,Trabajo del deltoides posterior.,3,2,1
20,Curl con barra,Curl tradicional para bíceps.,4,2,1
21,Curl con mancuernas,Curl alternado para bíceps.,4,1,1
22,Curl martillo,Curl con agarre neutro para bíceps y braquial.,4,1,1
23,Curl en banco Scott,Curl de aislamiento para bíceps.,4,2,1
24,Curl en polea,Curl utilizando polea baja.,4,2,1
25,Press francés,Extensión de tríceps con barra.,5,2,1
26,Extensión de tríceps en polea,Trabajo de tríceps mediante polea.,5,1,1
27,Extensión sobre la cabeza,Trabajo de la cabeza larga del tríceps.,5,2,1
28,Fondos en banco,Trabajo de tríceps utilizando un banco.,5,1,1
29,Patada de tríceps,Extensión unilateral con mancuerna.,5,2,1
30,Curl de muñeca,Flexión de muñeca para fortalecer antebrazos.,6,1,1
31,Curl inverso,Trabajo de extensores del antebrazo.,6,2,1
32,Farmer's Walk,Caminata con carga para fortalecer agarre y antebrazos.,6,2,1
33,Crunch abdominal,Flexión de tronco para fortalecer el abdomen.,7,1,1
34,Crunch en máquina,Trabajo abdominal utilizando máquina.,7,1,1
35,Elevación de piernas,Trabajo del abdomen inferior.,7,2,1
36,Plancha,Ejercicio isométrico para fortalecer el core.,7,1,3
37,Russian Twist,Rotación del tronco para trabajar oblicuos.,7,2,1
38,Mountain Climbers,Ejercicio cardiovascular con trabajo abdominal.,7,2,2
39,Sentadilla con barra,Ejercicio compuesto para piernas.,8,3,1
40,Prensa inclinada,Trabajo guiado de cuádriceps.,8,1,1
41,Sentadilla Hack,Variante guiada de sentadilla.,8,2,1
42,Extensión de piernas,Aislamiento de cuádriceps.,8,1,1
43,Zancadas,Trabajo unilateral de piernas.,8,2,1
44,Sentadilla búlgara,Ejercicio unilateral avanzado.,8,3,1
45,Peso muerto rumano,Trabajo de isquiotibiales.,9,3,1
46,Curl femoral,Flexión de rodilla en máquina.,9,1,1
47,Buenos días,Ejercicio para la cadena posterior.,9,3,1
48,Puente de glúteos,Extensión de cadera con peso corporal.,10,1,1
49,Hip Thrust,Empuje de cadera con barra.,10,2,1
50,Patada de glúteo en polea,Trabajo aislado de glúteos.,10,1,1
51,Abducción de cadera,Trabajo del glúteo medio.,10,1,1
52,Elevación de talones de pie,Trabajo de gemelos de pie.,11,1,1
53,Elevación de talones sentado,Trabajo específico del sóleo.,11,1,1
54,Movilidad de hombros con banda elástica,Ejercicio para mejorar la movilidad del hombro.,3,1,3
55,Estiramiento dinámico de cuerpo completo,Rutina de movilidad y flexibilidad general.,7,1,4
